Periodo,Unidades_Clasicos,Unidades_Vintage,Unidades_Total,Unidades_Dataset,Ventas_USD
2003-01-01,10,16,26,906,88018.62
2003-02-01,3,8,11,421,44466.64
2003-03-01,26,16,42,1492,151957.69
2003-04-01,12,8,20,709,80623.94
2003-05-01,28,16,44,1518,145213.06
2003-06-01,10,8,18,651,76839.3
2003-07-01,22,9,31,1060,123707.67
2003-08-01,10,8,18,603,71692.07
2003-09-01,37,18,55,1726,190712.77
2003-10-01,61,27,88,2988,326179.96
2003-11-01,114,66,180,6009,637597.77
2003-12-01,32,17,49,1735,183194.84
2004-01-01,30,24,54,1916,197708.95
2004-02-01,32,8,40,1428,158076.66
2004-03-01,16,19,35,1249,137125.22
2004-04-01,25,17,42,1442,146846.21
2004-05-01,16,5,21,792,95439.39
2004-06-01,10,12,22,708,68103.0
2004-07-01,36,13,49,1744,191949.86000000002
2004-08-01,55,24,79,2734,295034.87
2004-09-01,23,24,47,1592,170106.53
2004-10-01,50,41,91,3171,340017.1
2004-11-01,105,65,170,5974,606222.23
2004-12-01,29,23,52,1824,185312.86
2005-01-01,38,22,60,2107,213472.57
2005-02-01,38,22,60,2128,224224.29
2005-03-01,24,22,46,1618,166412.9
2005-04-01,18,11,29,1483,151723.48
2005-05-01,41,25,66,2380,257479.35
