ORDERNUMBER,ORDERLINENUMBER,ORDERDATE,STATUS,PRODUCTLINE,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,SALES,MSRP,PRECIO_UNITARIO
10100,1,2003-01-06,Shipped,Vintage Cars,S24_3969,49,34.47,1689.03,41,34.47
10100,2,2003-01-06,Shipped,Vintage Cars,S18_2248,50,67.8,3390.0,60,67.8
10100,3,2003-01-06,Shipped,Vintage Cars,S18_1749,30,100.0,5151.0,170,171.7
10100,4,2003-01-06,Shipped,Vintage Cars,S18_4409,22,86.51,1903.22,92,86.51
10101,1,2003-01-09,Shipped,Vintage Cars,S18_2795,26,100.0,3773.38,168,145.13
10101,2,2003-01-09,Shipped,Vintage Cars,S24_2022,46,53.76,2472.96,44,53.76
10101,3,2003-01-09,Shipped,Vintage Cars,S24_1937,45,31.2,1404.0,33,31.2
10101,4,2003-01-09,Shipped,Vintage Cars,S18_2325,25,100.0,3782.0,127,151.28
10102,1,2003-01-10,Shipped,Vintage Cars,S18_1367,41,50.14,2055.74,53,50.13999999999999
10102,2,2003-01-10,Shipped,Vintage Cars,S18_1342,39,100.0,4808.31,102,123.29
10103,4,2003-01-29,Shipped,Classic Cars,S10_4962,42,100.0,5398.26,147,128.53
10103,6,2003-01-29,Shipped,Classic Cars,S700_2824,42,100.0,4460.82,101,106.21
10103,9,2003-01-29,Shipped,Vintage Cars,S18_4668,41,47.29,1938.89,50,47.29
10103,11,2003-01-29,Shipped,Classic Cars,S10_1949,26,100.0,5404.62,214,207.87
10103,12,2003-01-29,Shipped,Vintage Cars,S18_2949,27,83.07,2242.89,101,83.07
10103,13,2003-01-29,Shipped,Vintage Cars,S18_3136,25,100.0,2539.5,104,101.58
10103,14,2003-01-29,Shipped,Vintage Cars,S18_2957,35,57.46,2011.1,62,57.46
10103,15,2003-01-29,Shipped,Vintage Cars,S24_4258,25,100.0,2873.0,97,114.92
10103,16,2003-01-29,Shipped,Vintage Cars,S18_3320,46,100.0,4791.82,99,104.16999999999999
10104,1,2003-01-31,Shipped,Classic Cars,S12_3148,34,100.0,5958.5,151,175.25
10104,3,2003-01-31,Shipped,Classic Cars,S18_4027,38,100.0,5348.5,143,140.75
10104,5,2003-01-31,Shipped,Classic Cars,S24_4048,26,100.0,2921.62,118,112.36999999999999
10104,6,2003-01-31,Shipped,Classic Cars,S24_1444,35,55.49,1942.15,57,55.49
10104,8,2003-01-31,Shipped,Classic Cars,S18_2238,24,100.0,3457.92,163,144.08
10104,10,2003-01-31,Shipped,Classic Cars,S24_2840,44,39.6,1742.4,35,39.6
10104,13,2003-01-31,Shipped,Classic Cars,S18_3232,23,100.0,4556.99,169,198.13
10105,1,2003-02-11,Shipped,Vintage Cars,S24_3816,50,79.67,3983.5,83,79.67
10105,2,2003-02-11,Shipped,Classic Cars,S10_4757,50,100.0,7208.0,136,144.16
10105,4,2003-02-11,Shipped,Vintage Cars,S24_3151,44,72.58,3193.52,88,72.58
10105,10,2003-02-11,Shipped,Vintage Cars,S18_4522,41,82.5,3382.5,87,82.5
10105,11,2003-02-11,Shipped,Vintage Cars,S18_3140,22,100.0,3065.04,136,139.32
10105,14,2003-02-11,Shipped,Classic Cars,S12_3891,29,100.0,4566.05,173,157.45000000000002
10105,15,2003-02-11,Shipped,Classic Cars,S12_1108,41,100.0,8690.36,207,211.96
10106,5,2003-02-17,Shipped,Vintage Cars,S32_4289,33,72.92,2406.36,68,72.92
10106,6,2003-02-17,Shipped,Vintage Cars,S50_1341,39,40.15,1565.85,43,40.15
10106,14,2003-02-17,Shipped,Vintage Cars,S24_3420,31,52.6,1630.6,65,52.599999999999994
10106,17,2003-02-17,Shipped,Vintage Cars,S18_3856,41,100.0,4774.86,105,116.46
10108,1,2003-03-03,Shipped,Classic Cars,S24_3856,40,100.0,5448.8,140,136.22
10108,2,2003-03-03,Shipped,Classic Cars,S18_1889,38,82.39,3130.82,77,82.39
10108,3,2003-03-03,Shipped,Classic Cars,S12_4675,36,100.0,3731.04,115,103.64
10108,4,2003-03-03,Shipped,Classic Cars,S12_3380,45,100.0,6130.35,117,136.23000000000002
10108,5,2003-03-03,Shipped,Classic Cars,S24_3371,30,63.07,1892.1,61,63.07
10108,6,2003-03-03,Shipped,Classic Cars,S12_1099,33,100.0,5265.15,194,159.54999999999998
10108,7,2003-03-03,Shipped,Classic Cars,S12_3990,39,89.38,3485.82,79,89.38000000000001
10108,8,2003-03-03,Shipped,Classic Cars,S18_3482,29,100.0,4049.56,146,139.64
10108,9,2003-03-03,Shipped,Classic Cars,S18_3278,26,68.35,1777.1,80,68.35
10108,10,2003-03-03,Shipped,Classic Cars,S24_4620,31,68.71,2130.01,80,68.71000000000001
10108,11,2003-03-03,Shipped,Classic Cars,S18_4721,44,100.0,5565.12,148,126.48
10109,1,2003-03-10,Shipped,Classic Cars,S18_2870,26,100.0,3157.44,132,121.44
10109,2,2003-03-10,Shipped,Classic Cars,S18_3685,47,100.0,6241.6,141,132.8
10109,3,2003-03-10,Shipped,Classic Cars,S18_1984,38,100.0,4432.7,142,116.64999999999999
10109,4,2003-03-10,Shipped,Classic Cars,S18_1129,26,100.0,4379.18,141,168.43
10109,5,2003-03-10,Shipped,Classic Cars,S18_3232,46,100.0,8257.0,169,179.5
10109,6,2003-03-10,Shipped,Classic Cars,S24_2972,29,32.1,930.9,37,32.1
10110,1,2003-03-18,Shipped,Vintage Cars,S18_2795,31,100.0,5074.39,168,163.69
10110,2,2003-03-18,Shipped,Vintage Cars,S24_2022,39,44.35,1729.65,44,44.35
10110,3,2003-03-18,Shipped,Vintage Cars,S24_1937,20,35.51,710.2,33,35.510000000000005
10110,4,2003-03-18,Shipped,Vintage Cars,S18_2325,33,100.0,3859.68,127,116.96
10110,5,2003-03-18,Shipped,Vintage Cars,S24_3969,48,34.47,1654.56,41,34.47
10110,6,2003-03-18,Shipped,Vintage Cars,S18_2248,32,50.25,1608.0,60,50.25
10110,7,2003-03-18,Shipped,Vintage Cars,S18_1749,42,100.0,6069.0,170,144.5
10110,8,2003-03-18,Shipped,Vintage Cars,S18_4409,28,89.27,2499.56,92,89.27
10110,9,2003-03-18,Shipped,Classic Cars,S18_4933,42,61.29,2574.18,71,61.29
10110,10,2003-03-18,Shipped,Classic Cars,S24_2887,46,100.0,5942.28,117,129.18
10110,11,2003-03-18,Shipped,Classic Cars,S24_2766,43,78.15,3360.45,90,78.14999999999999
10110,12,2003-03-18,Shipped,Classic Cars,S24_3191,27,73.62,1987.74,85,73.62
10110,13,2003-03-18,Shipped,Classic Cars,S24_1046,36,85.25,3069.0,73,85.25
10110,14,2003-03-18,Shipped,Classic Cars,S24_3432,37,100.0,3724.42,107,100.66
10110,15,2003-03-18,Shipped,Classic Cars,S24_1628,29,59.37,1721.73,50,59.37
10110,16,2003-03-18,Shipped,Classic Cars,S18_1589,37,100.0,5433.08,124,146.84
10112,1,2003-03-24,Shipped,Classic Cars,S10_1949,29,100.0,7209.11,214,248.58999999999997
10112,2,2003-03-24,Shipped,Vintage Cars,S18_2949,23,100.0,2539.89,101,110.42999999999999
10111,1,2003-03-25,Shipped,Vintage Cars,S18_3136,43,100.0,4818.15,104,112.05
10111,2,2003-03-25,Shipped,Vintage Cars,S18_2957,28,64.33,1801.24,62,64.33
10111,3,2003-03-25,Shipped,Vintage Cars,S24_4258,26,86.68,2253.68,97,86.67999999999999
10111,4,2003-03-25,Shipped,Vintage Cars,S18_3320,39,100.0,4178.85,99,107.15
10111,5,2003-03-25,Shipped,Vintage Cars,S18_1367,48,49.06,2354.88,53,49.06
10111,6,2003-03-25,Shipped,Vintage Cars,S18_1342,33,99.66,3288.78,102,99.66000000000001
10113,3,2003-03-26,Shipped,Vintage Cars,S18_4668,50,49.81,2490.5,50,49.81
10114,1,2003-04-01,Shipped,Classic Cars,S24_2840,24,30.06,721.44,35,30.060000000000002
10114,4,2003-04-01,Shipped,Classic Cars,S18_3232,48,100.0,8209.44,169,171.03
10114,8,2003-04-01,Shipped,Classic Cars,S10_4962,31,100.0,4305.28,147,138.88
10114,10,2003-04-01,Shipped,Classic Cars,S700_2824,42,100.0,4758.18,101,113.29
10115,1,2003-04-04,Shipped,Classic Cars,S24_4048,44,100.0,5568.64,118,126.56
10115,2,2003-04-04,Shipped,Classic Cars,S24_1444,47,69.36,3259.92,57,69.36
10115,4,2003-04-04,Shipped,Classic Cars,S18_2238,46,100.0,7381.16,163,160.46
10117,4,2003-04-16,Shipped,Vintage Cars,S18_4522,23,97.42,2240.66,87,97.41999999999999
10117,5,2003-04-16,Shipped,Vintage Cars,S18_3140,26,100.0,3551.34,136,136.59
10117,8,2003-04-16,Shipped,Classic Cars,S12_3891,39,100.0,5938.14,173,152.26000000000002
10117,9,2003-04-16,Shipped,Classic Cars,S12_1108,33,100.0,6034.38,207,182.86
10117,10,2003-04-16,Shipped,Classic Cars,S12_3148,43,100.0,5911.64,151,137.48000000000002
10117,12,2003-04-16,Shipped,Classic Cars,S18_4027,22,100.0,2780.58,143,126.39
10119,5,2003-04-28,Shipped,Vintage Cars,S24_3420,20,72.98,1459.6,65,72.97999999999999
10119,8,2003-04-28,Shipped,Vintage Cars,S18_3856,27,99.52,2687.04,105,99.52
10119,10,2003-04-28,Shipped,Vintage Cars,S24_3816,35,90.57,3169.95,83,90.57
10119,11,2003-04-28,Shipped,Classic Cars,S10_4757,46,100.0,5004.8,136,108.8
10119,13,2003-04-28,Shipped,Vintage Cars,S24_3151,35,87.62,3066.7,88,87.61999999999999
10120,11,2003-04-29,Shipped,Vintage Cars,S32_4289,29,72.23,2094.67,68,72.23
10120,12,2003-04-29,Shipped,Vintage Cars,S50_1341,49,50.62,2480.38,43,50.620000000000005
10122,1,2003-05-08,Shipped,Classic Cars,S18_1984,31,100.0,4100.99,142,132.29
10122,2,2003-05-08,Shipped,Classic Cars,S18_1129,34,100.0,5004.8,141,147.20000000000002
10122,3,2003-05-08,Shipped,Classic Cars,S18_3232,25,100.0,3598.5,169,143.94
10122,4,2003-05-08,Shipped,Classic Cars,S24_2972,39,30.96,1207.44,37,30.96
10122,5,2003-05-08,Shipped,Classic Cars,S24_3856,43,100.0,5494.97,140,127.79
10122,6,2003-05-08,Shipped,Classic Cars,S18_1889,43,72.38,3112.34,77,72.38000000000001
10122,7,2003-05-08,Shipped,Classic Cars,S12_4675,20,100.0,2142.0,115,107.1
10122,8,2003-05-08,Shipped,Classic Cars,S12_3380,37,99.82,3693.34,117,99.82000000000001
10122,9,2003-05-08,Shipped,Classic Cars,S24_3371,34,50.21,1707.14,61,50.21
10122,10,2003-05-08,Shipped,Classic Cars,S12_1099,42,100.0,7599.9,194,180.95
10122,11,2003-05-08,Shipped,Classic Cars,S12_3990,32,63.84,2042.88,79,63.84
10122,12,2003-05-08,Shipped,Classic Cars,S18_3482,21,100.0,2469.39,146,117.58999999999999
10122,13,2003-05-08,Shipped,Classic Cars,S18_3278,21,73.17,1536.57,80,73.17
10122,14,2003-05-08,Shipped,Classic Cars,S24_4620,29,71.14,2063.06,80,71.14
10122,15,2003-05-08,Shipped,Classic Cars,S18_4721,28,100.0,3583.16,148,127.97
10123,1,2003-05-20,Shipped,Classic Cars,S24_1628,50,59.87,2993.5,50,59.87
10123,2,2003-05-20,Shipped,Classic Cars,S18_1589,26,100.0,3073.72,124,118.22
10123,3,2003-05-20,Shipped,Classic Cars,S18_2870,46,100.0,5161.2,132,112.2
10123,4,2003-05-20,Shipped,Classic Cars,S18_3685,34,100.0,5331.88,141,156.82
10124,1,2003-05-21,Shipped,Vintage Cars,S24_2022,22,45.25,995.5,44,45.25
10124,2,2003-05-21,Shipped,Vintage Cars,S24_1937,45,37.84,1702.8,33,37.839999999999996
10124,3,2003-05-21,Shipped,Vintage Cars,S18_2325,42,100.0,4431.84,127,105.52000000000001
10124,4,2003-05-21,Shipped,Vintage Cars,S24_3969,46,33.23,1528.58,41,33.23
10124,5,2003-05-21,Shipped,Vintage Cars,S18_2248,42,53.88,2262.96,60,53.88
10124,6,2003-05-21,Shipped,Vintage Cars,S18_1749,21,100.0,2856.0,170,136.0
10124,7,2003-05-21,Shipped,Vintage Cars,S18_4409,36,85.59,3081.24,92,85.58999999999999
10124,8,2003-05-21,Shipped,Classic Cars,S18_4933,23,57.73,1327.79,71,57.73
10124,9,2003-05-21,Shipped,Classic Cars,S24_2887,25,93.95,2348.75,117,93.95
10124,10,2003-05-21,Shipped,Classic Cars,S24_2766,32,72.7,2326.4,90,72.7
10124,11,2003-05-21,Shipped,Classic Cars,S24_3191,49,83.04,4068.96,85,83.04
10124,12,2003-05-21,Shipped,Classic Cars,S24_1046,22,77.9,1713.8,73,77.89999999999999
10124,13,2003-05-21,Shipped,Classic Cars,S24_3432,43,100.0,5203.0,107,121.0
10125,1,2003-05-21,Shipped,Vintage Cars,S18_1342,32,100.0,3254.72,102,101.71
10125,2,2003-05-21,Shipped,Vintage Cars,S18_2795,34,100.0,6483.46,168,190.69
10126,4,2003-05-28,Shipped,Classic Cars,S10_4962,22,100.0,3347.74,147,152.17
10126,6,2003-05-28,Shipped,Classic Cars,S700_2824,45,100.0,4597.2,101,102.16
10126,9,2003-05-28,Shipped,Vintage Cars,S18_4668,43,53.83,2314.69,50,53.83
10126,11,2003-05-28,Shipped,Classic Cars,S10_1949,38,100.0,7329.06,214,192.87
10126,12,2003-05-28,Shipped,Vintage Cars,S18_2949,31,90.17,2795.27,101,90.17
10126,13,2003-05-28,Shipped,Vintage Cars,S18_3136,30,97.39,2921.7,104,97.39
