q,r,z,Stock_Seguridad,P_Agotamiento,E_Br,Pedidos_Anio,Dias_Entre_Pedidos,Deficit_Anual,SLM1,SLM2,Costo_Almacenamiento,Costo_Deficit,Costo_Pedidos,TC,Politica,Componente,Clase_ABC,Costo_Unitario,Demanda_Anual,Volumen_m3,Costo_Compra
13.7195,73.8253,1.8434,8.6707,0.0326,0.0602,41.1584,8.8682,2.476,0.9956,1.3433,27954.7772,3317.8144,12347.5222,43620.1138,A - Pedidos pendientes,Motor de Alto Rendimiento V8,A,9000,564.6715,0.8,5082043.5
9.3901,89.3612,1.9182,7.97,0.0275,0.0438,37.5605,9.7177,1.6452,0.9953,1.0345,30396.1286,3816.8294,11268.1374,45481.0954,A - Pedidos pendientes,Motor de Cilindros en Línea Raro,A,12000,352.697,0.9,4232364.0
8.3988,74.916,1.8693,7.09,0.0308,0.0454,41.9939,8.6917,1.9063,0.9946,1.2931,33868.0161,4422.6454,12598.1606,50888.8221,A - Pedidos pendientes,Carrocería Artesanal de Época,A,15000,352.697,4.0,5290455.0
16.1437,50.7918,1.9152,7.3554,0.0277,0.0408,34.9779,10.4352,1.4275,0.9975,0.9701,20055.349,1912.8771,10493.3761,32461.6022,A - Pedidos pendientes,Carrocería Estándar (Fibra),A,6500,564.6715,3.5,3670364.75
28.0413,84.5589,2.2425,13.9921,0.0125,0.027,32.7149,11.157,0.8832,0.999,0.4077,19608.9069,1516.2277,9814.464,30939.5985,A - Pedidos pendientes,Transmisión de 5 Velocidades,B,3500,917.3686,0.4,3210790.1
37.5723,40.0933,2.2598,7.516,0.0119,0.0137,15.0289,24.2865,0.2058,0.9996,0.1791,6312.5279,275.7286,4508.6776,11096.9341,A - Pedidos pendientes,Sistema de Inyección Electrónica,C,1200,564.6715,0.1,677605.8
34.2879,40.4311,2.4303,6.5181,0.0075,0.0067,10.2864,35.4839,0.0685,0.9998,0.0776,4259.1705,158.852,3085.9065,7503.929,A - Pedidos pendientes,Set de Carburadores Dobles,C,900,352.697,0.1,317427.3
26.2303,160.693,2.2166,19.5594,0.0133,0.0411,34.9737,10.4364,1.4383,0.9984,0.466,26139.5987,2469.1901,10492.1033,39100.8921,A - Pedidos pendientes,Tapicería de Cuero Premium,A,4000,917.3686,0.5,3669474.4
41.1454,162.4261,2.4957,26.7736,0.0063,0.0218,34.2879,10.6452,0.7471,0.9995,0.2155,23673.1403,1733.2435,10286.3558,35692.7396,A - Pedidos pendientes,Juego de Llantas Vintage Espec.,B,2500,1410.7882,0.15,3526970.5
130.1543,116.2301,2.7026,29.3575,0.0034,0.0114,17.3539,21.0327,0.1982,0.9999,0.0597,7554.7752,265.5428,5206.1727,13026.4907,A - Pedidos pendientes,Llantas Regulares Cromados,C,400,2258.6862,0.1,903474.48
209.8421,192.937,2.9354,51.8034,0.0017,0.0085,17.4868,20.8728,0.1479,1.0,0.0291,7836.2191,253.8817,5246.0516,13336.1524,A - Pedidos pendientes,Cubiertas de Alta Gama (Neumáticos),B,250,3669.4743,0.1,917368.575
