q,r,z,Stock_Seguridad,P_Agotamiento,E_Br,Pedidos_Anio,Dias_Entre_Pedidos,Deficit_Anual,SLM1,SLM2,Costo_Almacenamiento,Costo_Deficit,Costo_Pedidos,TC,Politica,Componente,Clase_ABC,Costo_Unitario,Demanda_Anual,Volumen_m3,Costo_Compra
13.7195,72.8915,1.6449,7.7369,0.05,0.0983,41.1584,8.8682,4.0448,0.9928,2.0579,26273.9386,5420.0454,12347.5222,44041.5063,B - Nivel de servicio 95%,Motor de Alto Rendimiento V8,A,9000,564.6715,0.8,5082043.5
9.3901,88.2254,1.6449,6.8342,0.05,0.0868,37.5605,9.7177,3.2606,0.9908,1.878,27670.223,7564.4854,11268.1374,46502.8458,B - Nivel de servicio 95%,Motor de Cilindros en Línea Raro,A,12000,352.697,0.9,4232364.0
8.3988,74.0648,1.6449,6.2388,0.05,0.0792,41.9939,8.6917,3.3278,0.9906,2.0997,31314.4565,7720.4962,12598.1606,51633.1134,B - Nivel de servicio 95%,Carrocería Artesanal de Época,A,15000,352.697,4.0,5290455.0
16.1437,49.7536,1.6449,6.3172,0.05,0.0802,34.9779,10.4352,2.8067,0.995,1.7489,18705.7684,3760.9522,10493.3761,32960.0967,B - Nivel de servicio 95%,Carrocería Estándar (Fibra),A,6500,564.6715,3.5,3670364.75
28.0413,80.8297,1.6449,10.2629,0.05,0.1304,32.7149,11.157,4.2647,0.9954,1.6357,16998.4938,7321.5313,9814.464,34134.489,B - Nivel de servicio 95%,Transmisión de 5 Velocidades,B,3500,917.3686,0.4,3210790.1
37.5723,38.0481,1.6449,5.4708,0.05,0.0695,15.0289,24.2865,1.0444,0.9982,0.7514,5821.6656,1399.4421,4508.6776,11729.7853,B - Nivel de servicio 95%,Sistema de Inyección Electrónica,C,1200,564.6715,0.1,677605.8
34.2879,38.3245,1.6449,4.4115,0.05,0.056,10.2864,35.4839,0.5764,0.9984,0.5143,3879.976,1337.2365,3085.9065,8303.1191,B - Nivel de servicio 95%,Set de Carburadores Dobles,C,900,352.697,0.1,317427.3
26.2303,155.6476,1.6449,14.514,0.05,0.1844,34.9737,10.4364,6.4477,0.993,1.7487,22103.3225,11069.185,10492.1033,43664.6107,B - Nivel de servicio 95%,Tapicería de Cuero Premium,A,4000,917.3686,0.5,3669474.4
41.1454,153.2983,1.6449,17.6458,0.05,0.2241,34.2879,10.6452,7.6852,0.9946,1.7144,19109.2684,17829.655,10286.3558,47225.2792,B - Nivel de servicio 95%,Juego de Llantas Vintage Espec.,B,2500,1410.7882,0.15,3526970.5
130.1543,104.7403,1.6449,17.8677,0.05,0.227,17.3539,21.0327,3.9386,0.9983,0.8677,6635.59,5277.6897,5206.1727,17119.4524,B - Nivel de servicio 95%,Llantas Regulares Cromados,C,400,2258.6862,0.1,903474.48
209.8421,170.1615,1.6449,29.0279,0.05,0.3687,17.4868,20.8728,6.4476,0.9982,0.8743,6697.4458,11069.1221,5246.0516,23012.6194,B - Nivel de servicio 95%,Cubiertas de Alta Gama (Neumáticos),B,250,3669.4743,0.1,917368.575
