Politica,Componente,Clase_ABC,Demanda_Anual,Costo_Unitario,Volumen_m3,q,r,z,Stock_Seguridad,E_Br,P_Agotamiento,SLM1,SLM2,Pedidos_Anio,Deficit_Anual,Costo_Pedidos,Costo_Almacenamiento,Costo_Deficit,TC,Costo_Compra
A - Pedidos pendientes,Motor de Alto Rendimiento V8,A,557.833,9000,0.8,13.6361,79.4153,1.8407,15.0497,0.1053,0.0328,0.9923,1.3433,40.9084,4.3076,12272.5266,39362.0136,5772.2402,57406.7804,5020497.0
A - Pedidos pendientes,Motor de Cilindros en Línea Raro,A,348.4257,12000,0.9,9.3331,94.241,1.9156,13.835,0.0767,0.0277,0.9918,1.0345,37.3323,2.8622,11199.6987,44403.6806,6640.2173,62243.5966,4181108.4
A - Pedidos pendientes,Carrocería Artesanal de Época,A,348.4257,15000,4.0,8.3478,79.3115,1.8666,12.3065,0.0795,0.031,0.9905,1.2931,41.7388,3.3165,12521.6439,49441.0893,7694.3095,69657.0427,5226385.5
A - Pedidos pendientes,Carrocería Estándar (Fibra),A,557.833,6500,3.5,16.0456,55.6783,1.9125,12.7679,0.0714,0.0279,0.9955,0.9701,34.7655,2.4835,10429.6421,27027.916,3327.8485,40785.4066,3625914.5
A - Pedidos pendientes,Transmisión de 5 Velocidades,B,906.2587,3500,0.4,27.871,94.009,2.2402,24.2966,0.0472,0.0125,0.9983,0.4077,32.5162,1.5362,9754.8533,26762.4887,2637.4219,39154.764,3171905.45
A - Pedidos pendientes,Sistema de Inyección Electrónica,C,557.833,1200,0.1,37.3441,45.2342,2.2574,13.0514,0.024,0.012,0.9994,0.1791,14.9376,0.3579,4481.2931,7613.6334,479.617,12574.5436,669399.6
A - Pedidos pendientes,Set de Carburadores Dobles,C,348.4257,900,0.1,34.0796,44.8224,2.4281,11.3199,0.0116,0.0076,0.9997,0.0776,10.2239,0.1191,3067.1638,5104.7424,276.2959,8448.2022,313583.13
A - Pedidos pendientes,Tapicería de Cuero Premium,A,906.2587,4000,0.5,26.0709,173.3879,2.2143,33.9631,0.072,0.0134,0.9972,0.466,34.7613,2.5018,10428.3769,37598.8643,4295.0865,52322.3277,3625034.8
A - Pedidos pendientes,Juego de Llantas Vintage Espec.,B,1393.7027,2500,0.15,40.8955,180.5097,2.4935,46.4997,0.0381,0.0063,0.9991,0.2155,34.0796,1.2994,10223.879,33473.7074,3014.6618,46712.2483,3484256.75
A - Pedidos pendientes,Llantas Regulares Cromados,C,2231.3321,400,0.1,129.3638,136.8135,2.7005,50.9931,0.02,0.0035,0.9998,0.0597,17.2485,0.3447,5174.5517,9254.0012,461.833,14890.3858,892532.84
A - Pedidos pendientes,Cubiertas de Alta Gama (Neumáticos),B,3625.0348,250,0.1,208.5675,229.4149,2.9335,89.9905,0.0148,0.0017,0.9999,0.0291,17.3806,0.2572,5214.1884,9713.713,441.5254,15369.4268,906258.7
B - Nivel de servicio 95%,Motor de Alto Rendimiento V8,A,557.833,9000,0.8,13.6361,77.8144,1.6449,13.4488,0.1708,0.05,0.9875,2.0454,40.9084,6.9883,12272.5266,36480.3967,9364.278,58117.2013,5020497.0
B - Nivel de servicio 95%,Motor de Cilindros en Línea Raro,A,348.4257,12000,0.9,9.3331,92.2858,1.6449,11.8798,0.1509,0.05,0.9838,1.8666,37.3323,5.6333,11199.6987,39711.1968,13069.3672,63980.2627,4181108.4
B - Nivel de servicio 95%,Carrocería Artesanal de Época,A,348.4257,15000,4.0,8.3478,77.8497,1.6449,10.8447,0.1377,0.05,0.9835,2.0869,41.7388,5.7495,12521.6439,45055.6972,13338.8286,70916.1697,5226385.5
B - Nivel de servicio 95%,Carrocería Estándar (Fibra),A,557.833,6500,3.5,16.0456,53.8914,1.6449,10.981,0.1395,0.05,0.9913,1.7383,34.7655,4.8491,10429.6421,24704.9978,6497.8433,41632.4832,3625914.5
B - Nivel de servicio 95%,Transmisión de 5 Velocidades,B,906.2587,3500,0.4,27.871,87.5522,1.6449,17.8398,0.2266,0.05,0.9919,1.6258,32.5162,7.3682,9754.8533,22242.6808,12649.7886,44647.3227,3171905.45
B - Nivel de servicio 95%,Sistema de Inyección Electrónica,C,557.833,1200,0.1,37.3441,41.6925,1.6449,9.5097,0.1208,0.05,0.9968,0.7469,14.9376,1.8044,4481.2931,6763.6262,2417.839,13662.7583,669399.6
B - Nivel de servicio 95%,Set de Carburadores Dobles,C,348.4257,900,0.1,34.0796,41.1708,1.6449,7.6683,0.0974,0.05,0.9971,0.5112,10.2239,0.9958,3067.1638,4447.4592,2310.3401,9824.9632,313583.13
B - Nivel de servicio 95%,Tapicería de Cuero Premium,A,906.2587,4000,0.5,26.0709,164.6541,1.6449,25.2293,0.3205,0.05,0.9877,1.7381,34.7613,11.1397,10428.3769,30611.7836,19124.7108,60164.8713,3625034.8
B - Nivel de servicio 95%,Juego de Llantas Vintage Espec.,B,1393.7027,2500,0.15,40.8955,164.6834,1.6449,30.6734,0.3896,0.05,0.9905,1.704,34.0796,13.2779,10223.879,25560.5765,30804.6994,66589.1549,3484256.75
B - Nivel de servicio 95%,Llantas Regulares Cromados,C,2231.3321,400,0.1,129.3638,116.8793,1.6449,31.0589,0.3945,0.05,0.997,0.8624,17.2485,6.8047,5174.5517,7659.2676,9118.3387,21952.158,892532.84
B - Nivel de servicio 95%,Cubiertas de Alta Gama (Neumáticos),B,3625.0348,250,0.1,208.5675,189.8828,1.6449,50.4584,0.6409,0.05,0.9969,0.869,17.3806,11.1396,5214.1884,7737.106,19124.6485,32075.943,906258.7
