Periodo,Unidades_Reales,Ajuste_HoltWinters,Residuo_HoltWinters,Ajuste_Prophet,Residuo_Prophet,Ajuste_SARIMA,Residuo_SARIMA
2003-01-01,26.0,35.2964,-9.2964,34.679,-8.679,26.0,0.0
2003-02-01,11.0,25.6297,-14.6297,23.0881,-12.0881,23.996,-12.996
2003-03-01,42.0,29.6297,12.3703,36.2984,5.7016,13.3145,28.6855
2003-04-01,20.0,18.963,1.037,13.0533,6.9467,37.2163,-17.2163
2003-05-01,44.0,32.2963,11.7037,47.6868,-3.6868,23.3943,20.6057
2003-06-01,18.0,14.3148,3.6852,17.974,0.026,40.2968,-22.2968
2003-07-01,31.0,34.3144,-3.3144,31.599,-0.599,22.0118,8.9882
2003-08-01,18.0,42.8149,-24.8149,18.5985,-0.5985,28.9945,-10.9945
2003-09-01,55.0,45.3147,9.6853,55.0259,-0.0259,20.0059,34.9941
2003-10-01,88.0,83.8149,4.1851,87.0121,0.9879,49.2903,38.7097
2003-11-01,180.0,169.3149,10.6851,177.7481,2.2519,82.9063,97.0937
2003-12-01,49.0,44.815,4.185,45.6128,3.3872,165.8012,-116.8012
2004-01-01,54.0,46.6667,7.3333,44.1643,9.8357,80.234,-26.234
2004-02-01,40.0,37.0,3.0,27.2931,12.7069,42.1741,-2.1741
2004-03-01,35.0,41.0,-6.0,35.7573,-0.7573,64.7417,-29.7417
2004-04-01,42.0,30.3334,11.6666,35.179,6.821,37.0916,4.9084
2004-05-01,21.0,43.6667,-22.6667,31.4283,-10.4283,53.8702,-32.8702
2004-06-01,22.0,25.6852,-3.6852,22.0042,-0.0042,31.334,-9.334
2004-07-01,49.0,45.6847,3.3153,48.3959,0.6041,36.389,12.611
2004-08-01,79.0,54.1852,24.8148,78.4098,0.5902,25.6797,53.3203
2004-09-01,47.0,56.6851,-9.6851,46.996,0.004,56.2355,-9.2355
2004-10-01,91.0,95.1853,-4.1853,92.0169,-1.0169,90.5066,0.4934
2004-11-01,170.0,180.6852,-10.6852,172.289,-2.289,160.2106,9.7894
2004-12-01,52.0,56.1853,-4.1853,55.4076,-3.4076,57.0453,-5.0453
2005-01-01,60.0,58.0371,1.9629,61.1714,-1.1714,62.7905,-2.7905
2005-02-01,60.0,48.3704,11.6296,60.642,-0.642,43.6974,16.3026
2005-03-01,46.0,52.3704,-6.3704,50.894,-4.894,56.1941,-10.1941
2005-04-01,29.0,41.7037,-12.7037,42.7298,-13.7298,51.6649,-22.6649
2005-05-01,66.0,55.037,10.963,51.8599,14.1401,53.4303,12.5697
