Periodo,Pronostico_HoltWinters,Pronostico_Prophet,Pronostico_SARIMA,Limite_Inferior,Limite_Superior
2005-06-01,37.0555,35.8978,39.8761,14.9297,59.1813
2005-07-01,57.0551,58.0856,55.2538,34.9293,79.1808
2005-08-01,65.5556,73.3671,58.3822,43.4298,87.6814
2005-09-01,68.0554,64.3635,63.8103,45.9296,90.1812
2005-10-01,106.5556,105.2771,89.4602,84.4298,128.6814
2005-11-01,192.0556,189.1832,148.4027,169.9298,214.1814
2005-12-01,67.5557,67.2642,62.8869,45.4299,89.6814
2006-01-01,69.4074,70.6171,67.1443,47.2816,91.5332
2006-02-01,59.7407,64.4488,55.2762,37.6149,81.8665
2006-03-01,63.7407,66.135,61.569,41.615,85.8665
2006-04-01,53.0741,50.405,54.9551,30.9483,75.1998
2006-05-01,66.4074,72.3241,61.7235,44.2816,88.5332
