Escenario,Factor,Componente,Demanda_Anual,c_B,q,Stock_Seguridad,r,P_Agotamiento,SLM1,Deficit_Anual,TC
c_B -30%,0.7,Motor de Alto Rendimiento V8,557.833,938.0,13.6361,13.7001,78.0657,0.0469,0.9884,6.4902,55293.1405
c_B -30%,0.7,Motor de Cilindros en Línea Raro,348.4257,1624.0,9.3331,12.679,93.085,0.0396,0.9877,4.3017,59815.0481
c_B -30%,0.7,Carrocería Artesanal de Época,348.4257,1624.0,8.3478,11.2299,78.2349,0.0443,0.9857,4.9926,66840.789
c_B -30%,0.7,Carrocería Estándar (Fibra),557.833,938.0,16.0456,11.698,54.6084,0.0399,0.9933,3.7329,39568.2438
c_B -30%,0.7,Tapicería de Cuero Premium,906.2587,1201.767,26.0709,31.7752,171.2,0.0192,0.9959,3.7287,50757.9061
c_B base,1.0,Motor de Alto Rendimiento V8,557.833,1340.0,13.6361,15.0497,79.4153,0.0328,0.9923,4.3076,57406.7804
c_B base,1.0,Motor de Cilindros en Línea Raro,348.4257,2320.0,9.3331,13.835,94.241,0.0277,0.9918,2.8622,62243.5966
c_B base,1.0,Carrocería Artesanal de Época,348.4257,2320.0,8.3478,12.3065,79.3115,0.031,0.9905,3.3165,69657.0427
c_B base,1.0,Carrocería Estándar (Fibra),557.833,1340.0,16.0456,12.7679,55.6783,0.0279,0.9955,2.4835,40785.4066
c_B base,1.0,Tapicería de Cuero Premium,906.2587,1716.81,26.0709,33.9631,173.3879,0.0134,0.9972,2.5018,52322.3277
c_B +30%,1.3,Motor de Alto Rendimiento V8,557.833,1742.0,13.6361,15.9892,80.3548,0.0253,0.9943,3.1965,58893.9975
c_B +30%,1.3,Motor de Cilindros en Línea Raro,348.4257,3016.0,9.3331,14.642,95.048,0.0213,0.9939,2.1272,63955.7825
c_B +30%,1.3,Carrocería Artesanal de Época,348.4257,3016.0,8.3478,13.0567,80.0617,0.0238,0.9929,2.4624,71640.0259
c_B +30%,1.3,Carrocería Estándar (Fibra),557.833,1742.0,16.0456,13.5147,56.4251,0.0215,0.9967,1.8456,41643.4688
c_B +30%,1.3,Tapicería de Cuero Premium,906.2587,2231.853,26.0709,35.5052,174.93,0.0103,0.9979,1.8692,53432.8108
