Escenario,Politica,Componente,sigma_X,q,Stock_Seguridad,P_Agotamiento,SLM1,Costo_Almacenamiento,Costo_Deficit,TC
Base,A,Motor de Alto Rendimiento V8,8.1763,13.6361,15.0497,0.0328,0.9923,39362.0136,5772.2402,57406.7804
Base,B,Motor de Alto Rendimiento V8,8.1763,13.6361,13.4488,0.05,0.9875,36480.3967,9364.278,58117.2013
Base,A,Motor de Cilindros en Línea Raro,7.2224,9.3331,13.835,0.0277,0.9918,44403.6806,6640.2173,62243.5966
Base,B,Motor de Cilindros en Línea Raro,7.2224,9.3331,11.8798,0.05,0.9838,39711.1968,13069.3672,63980.2627
Base,A,Carrocería Artesanal de Época,6.5931,8.3478,12.3065,0.031,0.9905,49441.0893,7694.3095,69657.0427
Base,B,Carrocería Artesanal de Época,6.5931,8.3478,10.8447,0.05,0.9835,45055.6972,13338.8286,70916.1697
Base,A,Carrocería Estándar (Fibra),6.676,16.0456,12.7679,0.0279,0.9955,27027.916,3327.8485,40785.4066
Base,B,Carrocería Estándar (Fibra),6.676,16.0456,10.981,0.05,0.9913,24704.9978,6497.8433,41632.4832
Base,A,Tapicería de Cuero Premium,15.3383,26.0709,33.9631,0.0134,0.9972,37598.8643,4295.0865,52322.3277
Base,B,Tapicería de Cuero Premium,15.3383,26.0709,25.2293,0.05,0.9877,30611.7836,19124.7108,60164.8713
+15%,A,Motor de Alto Rendimiento V8,9.4027,13.6361,17.3072,0.0328,0.9911,43425.4366,6638.0763,62336.0395
+15%,B,Motor de Alto Rendimiento V8,9.4027,13.6361,15.4661,0.05,0.9856,40111.5772,10768.9197,63153.0235
+15%,A,Motor de Cilindros en Línea Raro,8.3058,9.3331,15.9102,0.0277,0.9906,49384.2779,7636.2498,68220.2264
+15%,B,Motor de Cilindros en Línea Raro,8.3058,9.3331,13.6618,0.05,0.9814,43987.9215,15029.7723,70217.3925
+15%,A,Carrocería Artesanal de Época,7.5821,8.3478,14.1525,0.031,0.9891,54979.0061,8848.456,76349.1059
+15%,B,Carrocería Artesanal de Época,7.5821,8.3478,12.4714,0.05,0.981,49935.8052,15339.6529,77797.102
+15%,A,Carrocería Estándar (Fibra),7.6774,16.0456,14.6831,0.0279,0.9949,29517.657,3827.0258,43774.325
+15%,B,Carrocería Estándar (Fibra),7.6774,16.0456,12.6282,0.05,0.99,26846.3011,7472.5197,44748.463
+15%,A,Tapicería de Cuero Premium,17.639,26.0709,39.0576,0.0134,0.9968,41674.4374,4939.3495,57042.1638
+15%,B,Tapicería de Cuero Premium,17.639,26.0709,29.0136,0.05,0.9859,33639.2946,21993.4175,66061.0889
sigma de validacion,A,Motor de Alto Rendimiento V8,11.319,13.6361,20.8343,0.0328,0.9893,49774.3094,7990.897,70037.733
sigma de validacion,B,Motor de Alto Rendimiento V8,11.319,13.6361,18.6181,0.05,0.9827,45785.0951,12963.5943,71021.216
sigma de validacion,A,Motor de Cilindros en Línea Raro,9.9984,9.3331,19.1527,0.0277,0.9886,57166.1844,9192.4954,77558.3786
sigma de validacion,B,Motor de Cilindros en Línea Raro,9.9984,9.3331,16.446,0.05,0.9776,50670.0662,18092.7964,79962.5613
sigma de validacion,A,Carrocería Artesanal de Época,9.1273,8.3478,17.0367,0.031,0.9868,63631.6935,10651.7456,86805.083
sigma de validacion,B,Carrocería Artesanal de Época,9.1273,8.3478,15.013,0.05,0.9772,57560.7029,18465.8297,88548.1765
sigma de validacion,A,Carrocería Estándar (Fibra),9.242,16.0456,17.6755,0.0279,0.9938,33407.7392,4606.9626,48444.3439
sigma de validacion,B,Carrocería Estándar (Fibra),9.242,16.0456,15.2018,0.05,0.988,30191.9687,8995.3976,49617.0084
sigma de validacion,A,Tapicería de Cuero Premium,21.2338,26.0709,47.0174,0.0134,0.9962,48042.294,5945.9746,64416.6455
sigma de validacion,B,Tapicería de Cuero Premium,21.2338,26.0709,34.9265,0.05,0.983,38369.6123,26475.6122,75273.6014
